Region,Technology,Hour,Fuel,value
DK,H2Tank,110,H2,12.247885327242361
FR,Battery,18,Power,0.0
UK,Battery,46,Power,15.362670417589298
FR,PHS,25,Power,0.0
DK,H2Tank,81,H2,33.040088267770294
DE,PHS,44,Power,0.0
NO,H2Tank,71,H2,15.4503749788354
UK,Battery,18,Power,0.0
UK,H2Tank,45,H2,46.14287822804051
FR,PHS,27,Power,0.0
FR,H2Tank,1,H2,142.56946487508196
NO,H2Tank,54,H2,14.430135611023326
DK,PHS,56,Power,0.0
NO,PHS,102,Power,0.0
FR,Battery,106,Power,8.154889289601732
DE,PHS,26,Power,0.0
FR,H2Tank,36,H2,85.61991934850771
DK,Battery,23,Power,0.0
DE,Battery,60,Power,0.0
DK,H2Tank,15,H2,6.092082870175434
DK,H2Tank,51,H2,5.688091828443993
NO,Battery,90,Power,0.0
NO,PHS,115,Power,0.0
UK,H2Tank,75,H2,10.268603308986107
DK,PHS,17,Power,0.0
UK,H2Tank,97,H2,69.78869491622717
UK,H2Tank,52,H2,46.142878228040544
UK,Battery,36,Power,15.3780415408565
UK,H2Tank,10,H2,25.65466163341325
FR,PHS,72,Power,0.0
DE,H2Tank,60,H2,140.3902814755533
FR,Battery,92,Power,3.266444193077895
DE,Battery,10,Power,0.0
FR,PHS,51,Power,0.0
FR,H2Tank,109,H2,214.9979033273136
DE,H2Tank,24,H2,2.2830912194998536
UK,PHS,53,Power,0.0
NO,H2Tank,69,H2,18.081953926203827
NO,Battery,23,Power,0.0
UK,Battery,12,Power,12.943268440077054
FR,PHS,32,Power,0.0
NO,Battery,109,Power,0.0
NO,PHS,101,Power,0.0
DK,PHS,43,Power,0.0
NO,PHS,94,Power,0.0
UK,Battery,45,Power,15.364206838273123
NO,Battery,46,Power,0.0
FR,Battery,51,Power,0.0
DE,H2Tank,8,H2,74.72817384264233
NO,Battery,22,Power,0.0
UK,Battery,65,Power,0.0
DK,H2Tank,17,H2,2.822606031578945
UK,PHS,117,Power,0.0
DK,PHS,90,Power,0.0
DE,PHS,51,Power,0.0
DE,H2Tank,43,H2,41.79625102323481
NO,PHS,109,Power,0.0
FR,H2Tank,44,H2,28.39610507657781
DK,Battery,98,Power,0.0
DK,H2Tank,18,H2,2.822606031578945
UK,H2Tank,43,H2,41.77182476301273
DK,Battery,58,Power,11.893491784790706
NO,PHS,116,Power,0.0
UK,Battery,9,Power,0.0
FR,H2Tank,108,H2,223.76983315187476
DE,H2Tank,80,H2,160.54796423106927
FR,H2Tank,41,H2,41.76027022570064
UK,PHS,59,Power,0.0
FR,PHS,106,Power,0.0
NO,PHS,29,Power,0.0
DK,H2Tank,21,H2,1.6604288315789453
FR,H2Tank,53,H2,61.703911360070244
UK,Battery,120,Power,10.78767513072878
DK,PHS,31,Power,0.0
DE,PHS,20,Power,0.0
DE,PHS,31,Power,0.0
UK,H2Tank,41,H2,41.77182476301271
DE,Battery,47,Power,0.0
DE,PHS,96,Power,0.0
DK,Battery,18,Power,0.0
DE,H2Tank,62,H2,131.85575011901253
NO,Battery,27,Power,0.0
DK,PHS,9,Power,0.0
UK,Battery,5,Power,0.0
UK,H2Tank,54,H2,58.16426630920015
FR,H2Tank,38,H2,68.07605969938487
DK,Battery,53,Power,2.882095081483588
NO,H2Tank,90,H2,16.308556255716375
DE,Battery,6,Power,0.0
FR,Battery,24,Power,0.0
DE,H2Tank,10,H2,69.13699873542319
UK,Battery,73,Power,0.0
NO,PHS,34,Power,0.0
UK,H2Tank,70,H2,14.356003509452794
DK,H2Tank,67,H2,20.135054627802223
FR,H2Tank,56,H2,143.09870117713004
NO,PHS,69,Power,0.0
FR,H2Tank,71,H2,112.93403199304203
DE,H2Tank,104,H2,97.7656391127718
FR,PHS,67,Power,0.0
FR,H2Tank,19,H2,44.78535808481069
FR,Battery,108,Power,8.153258393292703
FR,Battery,91,Power,3.2667708701649123
FR,PHS,102,Power,0.0
NO,PHS,36,Power,0.0
DE,H2Tank,46,H2,21.052631578947366
NO,H2Tank,51,H2,7.095691471288004
DK,Battery,40,Power,7.289775825825579
UK,H2Tank,48,H2,46.14287822804053
DK,Battery,26,Power,0.0
FR,PHS,5,Power,0.0
DK,PHS,96,Power,0.0
DE,Battery,106,Power,0.0
FR,Battery,113,Power,4.080708068886209
DE,H2Tank,109,H2,82.62018244030226
FR,PHS,76,Power,0.0
NO,H2Tank,112,H2,0.0
FR,Battery,16,Power,0.0
UK,PHS,17,Power,0.0
DE,H2Tank,105,H2,97.76563911277178
FR,PHS,36,Power,0.0
DK,H2Tank,75,H2,12.20182953232238
UK,H2Tank,98,H2,69.78869491622717
UK,Battery,90,Power,21.558096021136862
NO,Battery,93,Power,0.0
UK,PHS,99,Power,0.0
DE,PHS,27,Power,0.0
FR,PHS,103,Power,0.0
FR,Battery,94,Power,3.2657909369037217
FR,PHS,82,Power,0.0
NO,PHS,62,Power,0.0
FR,Battery,39,Power,0.0
DK,H2Tank,105,H2,15.276348723308592
DK,H2Tank,106,H2,15.276348723308589
UK,Battery,70,Power,0.0
DK,PHS,73,Power,0.0
UK,H2Tank,108,H2,63.52050153223642
DK,PHS,39,Power,0.0
DK,Battery,94,Power,0.0
DE,H2Tank,76,H2,91.27353154023523
UK,H2Tank,50,H2,46.14287822804054
DE,H2Tank,74,H2,40.87278893075834
UK,H2Tank,8,H2,15.412388905113813
DK,H2Tank,38,H2,6.249530943859642
DK,PHS,109,Power,0.0
NO,Battery,104,Power,0.0
FR,PHS,97,Power,0.0
UK,Battery,34,Power,2.4339654132328032
NO,H2Tank,53,H2,10.99952126049555
NO,H2Tank,68,H2,18.081953926203827
UK,PHS,26,Power,0.0
DK,Battery,68,Power,5.912098764111565
UK,Battery,105,Power,21.568878303618057
UK,PHS,82,Power,0.0
NO,Battery,36,Power,0.0
DK,PHS,58,Power,0.0
DK,PHS,88,Power,0.0
DE,Battery,98,Power,0.0
DE,H2Tank,102,H2,97.76563911277181
DK,H2Tank,19,H2,1.6604288315789446
NO,PHS,23,Power,0.0
DK,PHS,80,Power,0.0
DK,H2Tank,108,H2,12.63469300434837
FR,Battery,8,Power,0.0
DE,H2Tank,20,H2,19.11554318832411
UK,H2Tank,57,H2,76.17869281870603
NO,H2Tank,80,H2,32.98802057384506
DK,H2Tank,14,H2,7.846468835087714
FR,H2Tank,34,H2,79.02731978816631
NO,Battery,60,Power,0.0
DK,PHS,33,Power,0.0
DE,PHS,91,Power,0.0
FR,Battery,62,Power,2.112297597111419
NO,PHS,30,Power,0.0
DK,Battery,83,Power,7.487613695901818
DE,Battery,88,Power,0.0
NO,Battery,66,Power,0.0
DK,PHS,79,Power,0.0
NO,Battery,16,Power,0.0
DE,PHS,110,Power,0.0
FR,PHS,65,Power,0.0
NO,PHS,89,Power,0.0
DK,H2Tank,35,H2,8.003916908771918
FR,Battery,80,Power,8.154889289601732
NO,Battery,48,Power,0.0
DK,H2Tank,22,H2,1.6604288315789457
DK,Battery,4,Power,5.945556602684331
DK,PHS,48,Power,0.0
UK,Battery,107,Power,21.56456474364612
DK,PHS,87,Power,0.0
DK,H2Tank,115,H2,12.247885327242368
UK,H2Tank,111,H2,42.46786995328908
NO,Battery,38,Power,0.0
FR,Battery,114,Power,4.080299998079321
UK,Battery,17,Power,0.0
FR,Battery,117,Power,4.079076030484815
FR,H2Tank,48,H2,8.771929824561404
UK,H2Tank,89,H2,69.78869491622727
UK,Battery,62,Power,21.568878303618053
DE,Battery,24,Power,0.0
NO,PHS,63,Power,0.0
DK,Battery,93,Power,0.0
DE,Battery,54,Power,0.0
NO,H2Tank,115,H2,3.5806675646510193
FR,Battery,81,Power,8.154073800672771
UK,PHS,111,Power,0.0
DE,PHS,40,Power,0.0
UK,PHS,23,Power,0.0
UK,PHS,15,Power,0.0
DE,Battery,65,Power,0.0
NO,Battery,79,Power,0.0
UK,Battery,39,Power,15.373428589720106
NO,Battery,18,Power,0.0
DK,Battery,3,Power,5.946151217806112
DE,Battery,109,Power,0.0
DK,PHS,91,Power,0.0
DE,Battery,18,Power,0.0
DK,PHS,46,Power,0.0
DE,Battery,37,Power,0.0
FR,H2Tank,73,H2,95.47753537023499
DK,PHS,94,Power,0.0
DK,H2Tank,118,H2,14.317420003051817
UK,Battery,109,Power,13.569381579136534
UK,PHS,116,Power,0.0
UK,H2Tank,82,H2,82.70801511885891
DK,PHS,30,Power,0.0
UK,Battery,95,Power,21.547319128720325
FR,PHS,53,Power,0.0
DK,H2Tank,9,H2,10.46990316491227
FR,PHS,1,Power,0.0
DK,H2Tank,27,H2,0.0
UK,Battery,69,Power,0.0
DE,PHS,32,Power,0.0
DK,Battery,110,Power,0.0
DE,Battery,100,Power,0.0
NO,PHS,105,Power,0.0
NO,PHS,54,Power,0.0
DK,H2Tank,74,H2,8.170283618100168
DE,Battery,31,Power,0.0
UK,Battery,76,Power,0.0
DK,H2Tank,99,H2,16.07241973248091
FR,PHS,37,Power,0.0
NO,PHS,32,Power,0.0
DE,Battery,81,Power,0.0
UK,H2Tank,20,H2,12.760127661806946
DE,PHS,87,Power,0.0
FR,Battery,11,Power,2.4467114580263227
NO,PHS,91,Power,0.0
DE,H2Tank,71,H2,50.34077129295573
NO,H2Tank,95,H2,9.031066840625053
UK,PHS,77,Power,0.0
FR,Battery,74,Power,0.0
UK,Battery,27,Power,0.0
UK,Battery,35,Power,8.906327095128749
DK,H2Tank,101,H2,16.072419732480906
DE,PHS,10,Power,0.0
FR,PHS,8,Power,0.0
DE,PHS,93,Power,0.0
NO,PHS,93,Power,0.0
NO,H2Tank,27,H2,0.0
NO,Battery,35,Power,0.0
DK,H2Tank,3,H2,14.765658168972875
DK,H2Tank,107,H2,15.276348723308585
UK,H2Tank,39,H2,53.04725910336358
DK,Battery,79,Power,10.639036317807374
DK,Battery,50,Power,0.0
UK,H2Tank,23,H2,0.0
NO,Battery,14,Power,0.0
DK,PHS,41,Power,0.0
NO,PHS,87,Power,0.0
DK,H2Tank,68,H2,18.38066866288994
DE,Battery,46,Power,0.0
UK,H2Tank,26,H2,0.0
DE,H2Tank,30,H2,46.53606018405501
FR,PHS,6,Power,0.0
UK,Battery,98,Power,21.54085557937973
DK,Battery,115,Power,0.0
UK,PHS,6,Power,0.0
UK,H2Tank,5,H2,20.301375980482074
DE,H2Tank,115,H2,73.17817987641602
FR,PHS,47,Power,0.0
DK,H2Tank,54,H2,17.782729571109982
FR,PHS,22,Power,0.0
UK,Battery,87,Power,21.564564743644585
DK,H2Tank,30,H2,3.9723709945499146
DE,H2Tank,79,H2,150.66173704281925
FR,Battery,85,Power,5.132929026773549
FR,Battery,38,Power,0.0
FR,Battery,88,Power,3.267751097464887
DE,Battery,90,Power,0.0
DK,PHS,103,Power,0.0
UK,Battery,119,Power,10.788754006129393
FR,H2Tank,106,H2,240.50174553257656
DK,H2Tank,10,H2,10.46990316491227
DE,H2Tank,68,H2,69.95295953335501
UK,PHS,5,Power,0.0
DE,H2Tank,16,H2,28.677456828110188
DK,H2Tank,46,H2,3.5087719298245603
FR,PHS,54,Power,0.0
NO,H2Tank,45,H2,3.7099853888888843
FR,Battery,58,Power,8.154889289601735
DK,H2Tank,66,H2,21.889440592714507
DK,PHS,42,Power,0.0
FR,H2Tank,116,H2,157.2985522546298
DK,H2Tank,80,H2,32.35955910343238
FR,Battery,46,Power,0.0
DK,Battery,1,Power,5.947340626457998
DE,Battery,26,Power,0.0
NO,H2Tank,75,H2,16.62669939986356
NO,H2Tank,111,H2,0.0
UK,H2Tank,81,H2,71.5645443465244
DE,H2Tank,117,H2,68.19026938128472
DE,PHS,56,Power,0.0
FR,H2Tank,93,H2,205.51432286565296
DE,Battery,19,Power,0.0
DE,Battery,103,Power,0.0
UK,PHS,115,Power,0.0
DK,PHS,59,Power,0.0
DE,H2Tank,42,H2,47.07303231797165
DE,H2Tank,86,H2,151.85356060209554
UK,PHS,120,Power,0.0
DK,H2Tank,112,H2,12.247885327242367
UK,Battery,10,Power,6.472605078437267
DK,Battery,13,Power,5.940207741642942
FR,PHS,107,Power,0.0
NO,PHS,120,Power,0.0
DE,H2Tank,89,H2,141.59382031242018
DK,H2Tank,20,H2,1.6604288315789448
DE,PHS,48,Power,0.0
UK,H2Tank,90,H2,69.78869491622727
FR,Battery,119,Power,4.078260256069478
FR,H2Tank,23,H2,12.280701754385964
NO,Battery,61,Power,0.0
NO,PHS,40,Power,0.0
FR,Battery,7,Power,0.0
FR,H2Tank,39,H2,59.30412987482345
FR,H2Tank,63,H2,183.10947058953354
DK,PHS,4,Power,0.0
NO,H2Tank,8,H2,9.465521910314338
FR,H2Tank,83,H2,281.94705079109195
FR,PHS,38,Power,0.0
UK,PHS,68,Power,0.0
UK,H2Tank,34,H2,43.91193898991846
NO,PHS,6,Power,0.0
UK,PHS,81,Power,0.0
DE,PHS,92,Power,0.0
UK,PHS,36,Power,0.0
DK,H2Tank,96,H2,16.07241973248092
FR,PHS,70,Power,0.0
UK,PHS,97,Power,0.0
NO,PHS,11,Power,0.0
UK,H2Tank,3,H2,34.336463699780296
UK,PHS,106,Power,0.0
UK,H2Tank,2,H2,41.354007559429434
FR,PHS,2,Power,0.0
DE,Battery,58,Power,0.0
DE,PHS,34,Power,0.0
NO,H2Tank,82,H2,32.988020573845056
UK,Battery,68,Power,0.0
UK,H2Tank,101,H2,72.53927452768515
FR,Battery,34,Power,0.0
UK,H2Tank,44,H2,46.1428782280405
DE,Battery,101,Power,0.0
DE,PHS,19,Power,0.0
FR,PHS,17,Power,0.0
FR,H2Tank,66,H2,156.7936811158492
NO,PHS,22,Power,0.0
DE,PHS,30,Power,0.0
NO,H2Tank,33,H2,0.0
DK,H2Tank,120,H2,16.520044133885147
DE,Battery,34,Power,0.0
NO,H2Tank,6,H2,14.573824228442996
UK,Battery,3,Power,2.7935686846025267
DK,H2Tank,89,H2,17.826805697393223
UK,PHS,60,Power,0.0
DE,H2Tank,52,H2,75.96166085430498
FR,H2Tank,112,H2,188.68211385362937
NO,PHS,78,Power,0.0
FR,H2Tank,104,H2,249.27367535713807
DK,PHS,20,Power,0.0
DK,PHS,84,Power,0.0
FR,H2Tank,45,H2,28.3961050765778
DK,H2Tank,113,H2,12.247885327242367
FR,Battery,103,Power,5.709564358497275
UK,Battery,37,Power,15.376503736702412
NO,Battery,15,Power,0.0
DK,H2Tank,117,H2,12.247885327242374
FR,Battery,17,Power,0.0
FR,PHS,90,Power,0.0
UK,Battery,32,Power,1.615319447734575
UK,PHS,34,Power,0.0
UK,PHS,87,Power,0.0
FR,Battery,56,Power,5.70956435849727
DK,H2Tank,83,H2,31.285702302858006
FR,PHS,109,Power,0.0
DK,PHS,37,Power,0.0
FR,H2Tank,69,H2,130.4778916421649
FR,Battery,52,Power,0.0
FR,PHS,66,Power,0.0
DE,PHS,99,Power,0.0
FR,H2Tank,55,H2,118.95146102838005
DE,PHS,24,Power,0.0
DE,H2Tank,119,H2,75.28916793178468
NO,PHS,114,Power,0.0
UK,H2Tank,68,H2,26.536669950437798
DK,PHS,2,Power,0.0
NO,PHS,49,Power,0.0
NO,Battery,70,Power,0.0
NO,H2Tank,15,H2,3.276553330994149
UK,PHS,14,Power,0.0
DK,H2Tank,23,H2,0.2892097192982441
FR,H2Tank,37,H2,76.84798952394628
UK,PHS,104,Power,0.0
FR,H2Tank,87,H2,258.14590181302157
UK,H2Tank,27,H2,0.0
FR,PHS,57,Power,0.0
DK,Battery,55,Power,10.018684319163041
DK,PHS,64,Power,0.0
UK,H2Tank,117,H2,41.35400755942947
NO,Battery,34,Power,0.0
FR,PHS,105,Power,0.0
DK,Battery,72,Power,0.0
UK,Battery,26,Power,0.0
DE,H2Tank,33,H2,85.25406558561001
NO,H2Tank,104,H2,0.0
NO,Battery,80,Power,0.0
DK,Battery,30,Power,6.1745882530239635
FR,Battery,65,Power,0.0
DK,H2Tank,76,H2,16.23337544654438
DK,H2Tank,48,H2,0.0
NO,Battery,96,Power,0.0
NO,H2Tank,113,H2,2.2058313162692706
FR,Battery,72,Power,0.0
FR,H2Tank,62,H2,191.88140041409497
DK,H2Tank,1,H2,16.520044133885147
NO,Battery,9,Power,0.0
DE,H2Tank,101,H2,97.76563911277184
NO,H2Tank,34,H2,0.0
DK,PHS,22,Power,0.0
FR,Battery,26,Power,0.0
FR,Battery,75,Power,0.0
NO,PHS,118,Power,0.0
DE,PHS,100,Power,0.0
DK,Battery,77,Power,7.137165627874797
DE,PHS,49,Power,0.0
DK,H2Tank,37,H2,8.003916908771922
NO,Battery,69,Power,0.0
DK,Battery,69,Power,5.911507554235155
UK,PHS,103,Power,0.0
FR,Battery,29,Power,0.0
UK,H2Tank,114,H2,41.35400755942945
DE,Battery,14,Power,0.0
FR,PHS,86,Power,0.0
DK,Battery,31,Power,9.742732046198661
DE,H2Tank,17,H2,28.47741854896122
FR,PHS,12,Power,0.0
FR,H2Tank,18,H2,53.48735867652028
DE,PHS,104,Power,0.0
NO,Battery,57,Power,0.0
FR,H2Tank,46,H2,24.32801418333333
DK,Battery,100,Power,4.40940437800496
FR,PHS,89,Power,0.0
FR,H2Tank,79,H2,232.19622973243793
NO,Battery,85,Power,0.0
DK,PHS,40,Power,0.0
NO,Battery,92,Power,0.0
DK,Battery,104,Power,4.407640880800384
FR,H2Tank,30,H2,35.13343705583302
UK,PHS,109,Power,0.0
DK,Battery,88,Power,0.0
NO,Battery,54,Power,0.0
FR,H2Tank,54,H2,90.32768619422515
NO,H2Tank,97,H2,6.399487893256634
UK,Battery,112,Power,5.576038798708904
DE,Battery,9,Power,0.0
DE,PHS,17,Power,0.0
UK,Battery,64,Power,6.184895607079072
UK,H2Tank,99,H2,69.78869491622716
DE,Battery,71,Power,0.0
DK,H2Tank,44,H2,3.5087719298245594
UK,PHS,112,Power,0.0
UK,PHS,90,Power,0.0
DE,Battery,30,Power,0.0
DE,PHS,118,Power,0.0
NO,PHS,24,Power,0.0
DK,Battery,8,Power,5.943178736752872
UK,PHS,57,Power,0.0
DE,Battery,76,Power,0.0
NO,H2Tank,105,H2,0.2742695992692697
UK,PHS,65,Power,0.0
DE,H2Tank,106,H2,97.76563911277175
DE,Battery,15,Power,0.0
DE,PHS,103,Power,0.0
UK,PHS,45,Power,0.0
DE,Battery,50,Power,0.0
NO,Battery,101,Power,0.0
FR,Battery,100,Power,3.263831952144909
DE,Battery,44,Power,0.0
FR,Battery,66,Power,0.0
DK,Battery,20,Power,0.0
NO,H2Tank,98,H2,5.1870522300987405
DE,PHS,105,Power,0.0
DK,Battery,57,Power,11.894681252915998
DK,PHS,24,Power,0.0
UK,PHS,40,Power,0.0
NO,H2Tank,46,H2,3.709985388888883
DE,Battery,85,Power,0.0
DK,Battery,103,Power,4.408081688969281
UK,Battery,14,Power,12.940679915821722
DE,H2Tank,1,H2,84.72274305778464
FR,PHS,80,Power,0.0
FR,Battery,35,Power,0.0
UK,H2Tank,91,H2,69.78869491622724
UK,PHS,107,Power,0.0
UK,PHS,79,Power,0.0
DK,Battery,7,Power,5.943773114064278
NO,H2Tank,59,H2,20.713532873572277
FR,Battery,86,Power,5.132415733870872
FR,PHS,114,Power,0.0
DE,H2Tank,61,H2,134.44260529795991
